trialNum_fixed,carbon_self_str,carbon_env_str,bonus_self_str,bonus_env_str,carbon_self_eqCarMiles_str,carbon_env_eqCarMiles_str,carbon_self,carbon_env,bonus_self,bonus_env,carbon_self_eqCarMiles,carbon_env_eqCarMiles,carbon_level,carbon_prcnt,carbon_randSD,bonus_level,bonus_prcnt,bonus_randSD,carbon_level_rand,bonus_level_rand
2,20.79<br><span style='color: #D3D3D3;'>pounds</span>,18.81<br><span style='color: #D3D3D3;'>pounds</span>,69.00<br><span style='color: #D3D3D3;'>cents</span>,59.00<br><span style='color: #D3D3D3;'>cents</span>,(~23.57 car miles),(~21.33 car miles),18.81,20.79,69,59,23.57,21.33,19.85,10,0.9925,60,15,3,19.7955422,63.84285294
8,20.09<br><span style='color: #D3D3D3;'>pounds</span>,17.29<br><span style='color: #D3D3D3;'>pounds</span>,70.00<br><span style='color: #D3D3D3;'>cents</span>,57.00<br><span style='color: #D3D3D3;'>cents</span>,(~22.79 car miles),(~19.61 car miles),17.29,20.09,70,57,22.79,19.61,19.85,15,0.9925,60,20,3,18.691501,63.63451343
11,21.20<br><span style='color: #D3D3D3;'>pounds</span>,17.34<br><span style='color: #D3D3D3;'>pounds</span>,63.00<br><span style='color: #D3D3D3;'>cents</span>,57.00<br><span style='color: #D3D3D3;'>cents</span>,(~24.04 car miles),(~19.67 car miles),17.34,21.2,63,57,24.04,19.67,19.85,20,0.9925,60,10,3,19.27117284,60.23191771
17,26.02<br><span style='color: #D3D3D3;'>pounds</span>,15.61<br><span style='color: #D3D3D3;'>pounds</span>,60.00<br><span style='color: #D3D3D3;'>cents</span>,51.00<br><span style='color: #D3D3D3;'>cents</span>,(~29.51 car miles),(~17.70 car miles),15.61,26.02,60,51,29.51,17.7,19.85,50,0.9925,60,15,3,20.81744884,55.45129359
23,29.30<br><span style='color: #D3D3D3;'>pounds</span>, 9.77<br><span style='color: #D3D3D3;'>pounds</span>,72.00<br><span style='color: #D3D3D3;'>cents</span>,59.00<br><span style='color: #D3D3D3;'>cents</span>,(~33.23 car miles),(~11.08 car miles),9.77,29.3,72,59,33.23,11.08,19.85,100,0.9925,60,20,3,19.53539737,65.30471714
